Kingdom	Phylum	Class	Order	Family	Genus
ASV_103	Eukaryota	NA	NA	NA	NA	NA
ASV_104	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_105	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII_AD3011_group
ASV_106	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
ASV_107	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_108	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
ASV_109	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_110	Eukaryota	NA	NA	NA	NA	NA
ASV_111	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_112	Eukaryota	NA	NA	NA	NA	NA
ASV_113	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_114	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ASV_115	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ASV_116	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides
ASV_117	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
ASV_118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_119	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA
ASV_120	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family_XIII_AD3011_group
ASV_121	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA
ASV_122	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group
ASV_123	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_124	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_125	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium
ASV_126	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214_group
ASV_127	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_128	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA
ASV_129	Eukaryota	NA	NA	NA	NA	NA
ASV_130	Eukaryota	NA	NA	NA	NA	NA
ASV_131	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_UCG-004
ASV_132	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003
ASV_133	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_134	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium
ASV_135	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
ASV_136	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-004
ASV_137	Eukaryota	NA	NA	NA	NA	NA
ASV_138	Eukaryota	NA	NA	NA	NA	NA
ASV_139	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA
ASV_140	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003
ASV_141	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
ASV_142	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_143	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA
ASV_144	Eukaryota	NA	NA	NA	NA	NA
ASV_145	NA	NA	NA	NA	NA	NA
ASV_146	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_147	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Suttonella
ASV_148	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
ASV_149	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium
ASV_150	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium
ASV_151	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
ASV_152	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_153	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
ASV_154	Eukaryota	NA	NA	NA	NA	NA
ASV_155	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_156	Eukaryota	NA	NA	NA	NA	NA
ASV_157	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
ASV_158	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV_159	Eukaryota	NA	NA	NA	NA	NA
ASV_160	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
ASV_161	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_162	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_163	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
ASV_164	NA	NA	NA	NA	NA	NA
ASV_165	Eukaryota	NA	NA	NA	NA	NA
ASV_166	Eukaryota	NA	NA	NA	NA	NA
